year,source,target,cumulative_volume_af,transmission_kwh/af
2010,1807173PD,1807173E,2625.0,163.1
2010,1807177PD,1807177E,6791.44,163.1
2010,1807179PD,1807179E,3253.8,163.1
2010,1807181PD,1807181E,7439.63,163.1
2010,1807185NPD,1807185E,444.0,195.72
2010,1807185PD,1807185E,7104.24,163.1
2010,1807187PD,1807187E,20212.0,163.1
2010,1807191PD,1807191E,2301.8,163.1
2010,1807193PD,1807193E,4484.7,163.1
2010,1807195PD,1807195E,2179.46,163.1
2010,1807197NPD,1807197E,6556.0,195.72
2010,1807197PD,1807197E,47220.36,163.1
2010,1807199PD,1807199E,7542.99,163.1
2010,1807203NPD,1807203E,3998.6,190.44105190000002
2010,1807203PD,1807203E,507910.275,163.1
2010,1807205PD,1807205E,5821.0,163.1
2010,1807207NPD,1807207E,263.0,195.72
2010,1807207PD,1807207E,4893.98,163.1
2010,1807215NPD,1807215E,550.0,195.72
2010,1807215PD,1807215E,18300.0,163.1
2010,1807221NPD,1807221E,267.0,195.72
2010,1807221PD,1807221E,9975.84,163.1
2010,1807223PD,1807223E,3069.43,163.1
2010,1807227NPD,1807227E,3560.0,195.72
2010,1807227PD,1807227E,26726.0,163.1
2010,1807229PD,1807229E,107864.68,163.1
2010,1807231PD,1807231E,10434.96,163.1
2010,1807233NPD,1807233E,216.0,195.72
2010,1807233PD,1807233E,16213.0,163.1
2010,1807237NPD,1807237E,51.0,195.72
2010,1807237PD,1807237E,2228.0,163.1
2010,1807239NPD,1807239E,130.0,195.72
2010,1807239PD,1807239E,22024.8,62.2
2010,1807241NPD,1807241E,2497.0,195.72
2010,1807241PD,1807241E,17540.4,163.1
2010,1807243NPD,1807243E,1976.0,752.0
2010,1807243PD,1807243E,33134.1,163.1
2010,1807245PD,1807245E,30411.93,163.1
2010,1807247PD,1807247E,1897.28,163.1
2010,1807249NPD,1807249E,4000.0,195.72
2010,1807249PD,1807249E,25172.2,163.1
2010,1807250PD,1807250E,25768.47,163.1
2010,1807253NPD,1807253E,354.0,195.72
2010,1807253PD,1807253E,5772.32,163.1
2010,1807255NPD,1807255E,260.0,195.72
2010,1807255PD,1807255E,10539.84,163.1
2010,1807257PD,1807257E,38460.0,163.1
2010,1807261PD,1807261E,4753.8,163.1
2010,1807263PD,1807263E,2967.03,163.1
2010,1807265NPD,1807265E,73.0,195.72
2010,1807265PD,1807265E,18259.56,163.1
2010,1807267PD,1807267E,2254.88,163.1
2010,1807269PD,1807269E,2689.0,163.1
2010,1807273NPD,1807273E,14032.5,195.72
2010,1807273PD,1807273E,9945.65,163.1
2010,1807275PD,1807275E,3700.29,163.1
2010,1807277NPD,1807277E,4382.0,195.72
2010,1807277PD,1807277E,40456.32,423.0
2010,1807279NPD,1807279E,2214.0,195.72
2010,1807279PD,1807279E,21363.45,163.1
2010,1807283NPD,1807283E,3279.0,195.72
2010,1807283PD,1807283E,2501.0,163.1
2010,1807285NPD,1807285E,130.0,195.72
2010,1807285PD,1807285E,52767.44,163.1
2010,1807289NPD,1807289E,106.0,195.72
2010,1807289PD,1807289E,10494.44,163.1
2010,1807291PD,1807291E,4503.63,163.1
2010,1807293PD,1807293E,2055.0,163.1
2010,1807299PD,1807299E,34682.8,163.1
2010,1807301PD,1807301E,49304.64,163.1
2010,1807303NPD,1807303E,350.0,195.72
2010,1807303PD,1807303E,17313.0,163.1
2010,1807305NPD,1807305E,900.0,195.72
2010,1807305PD,1807305E,7811.5,163.1
2010,1807307NPD,1807307E,7656.0,195.72
2010,1807307PD,1807307E,134351.28,163.1
2010,1807309PD,1807309E,42800.4,163.1
2010,1807311NPD,1807311E,448.0,195.72
2010,1807311PD,1807311E,4757.6,163.1
2010,1807315PD,1807315E,6059.1,163.1
2010,1807317PD,1807317E,37592.1,29.0
2010,1807321NPD,1807321E,2015.0,195.72
2010,1807321PD,1807321E,30851.07,29.0
2010,1807329NPD,1807329E,215.0,195.72
2010,1807329PD,1807329E,7713.0,163.1
2010,1807331NPD,1807331E,98.0,195.72
2010,1807331PD,1807331E,46604.0,163.1
2010,1807335NPD,1807335E,497.0,195.72
2010,1807335PD,1807335E,10615.95,163.1
2010,1807337NPD,1807337E,533.0,195.72
2010,1807337PD,1807337E,5136.87,163.1
2010,1807339NPD,1807339E,3013.5,195.72
2010,1807339PD,1807339E,28142.0,163.1
2010,1807341NPD,1807341E,280.0,195.72
2010,1807341PD,1807341E,12435.8,163.1
2010,1807347PD,1807347E,4610.0,163.1
2010,1807349PD,1807349E,3411.36,163.1
2010,1807351PD,1807351E,2603.04,163.1
2010,1807355NPD,1807355E,395.0,195.72
2010,1807355PD,1807355E,6201.0,163.1
2010,1807357PD,1807357E,8318.97,163.1
